,Agent,Prior weighting,Likelihood weighting,Directed exploration,Random exploration,Meta-cognition,Learning rate,Optimism bias,Model-basedness,Temporal discounting,Risk taking
12,llama-2-13,0.5550391047331342,-0.1537091948757146,-0.2120188938558876,0.0037015305750331,0.6618133769431728,0.35453108946091605,0.4062801977211131,0.0089805504914228,10.0,0.9333333333333333
13,llama-2-7,0.1956831599311012,0.0125828277865485,0.2716340157151856,0.0113378053778811,0.6112843290198801,0.23808047170380786,0.5144292399239919,0.0001089191880642,7.0,4.537777777777778
14,llama-2-70-chat,0.424283094765103,0.0086906402212382,0.0,0.0522474396002883,0.6909577711823791,0.4151861063000327,0.4970576825028935,0.0064329422317291,5.0,27.54222222222222
15,llama-2-13-chat,0.2977064032735469,0.3855397045327878,-0.1919478247393746,0.0026433044754903,0.6883680869251086,0.3495819572788853,0.39848517547310014,0.001227164214917,2.0,29.27111111111111
16,llama-2-7-chat,0.0751776721562974,-0.0283919754300283,0.2308370817414649,-0.0013972760825144,0.6524339214169432,0.28561959386229574,0.381200857693665,1.3782378016635732e-15,5.0,18.73777777777778
17,hf_vicuna-7b-v1.5,0.3852290033588897,-0.0374635589334211,-0.0704097202432528,-0.0006301456395089,0.7177538703799358,0.356419802316275,0.013800902151932092,-1.9949319973733282e-17,0.0,27.586666666666666
18,hf_vicuna-13b-v1.5,0.5951352833531443,0.0498868177436998,-0.4204905730678877,0.001019690847359,0.6750052083333332,0.28314029983868955,0.1063331410266816,0.008925180995346,6.0,27.924444444444447
19,hf_Llama-2-7b-longlora-100k-ft,0.8553277324824349,-0.1304220563287454,-0.0081221629250313,-0.0009757620487129,0.4610227272727272,0.2628879246567187,0.023263969729419576,-0.0046010328099753,8.0,0.902222222222222
20,hf_Llama-2-7b-longlora-8k-ft,0.2295197995774806,0.0151954644567989,0.0020650113954362,0.0002362202133648,0.6334590231977865,0.4340831910001608,0.042072466959239566,1.7982145420500448e-06,8.0,1.3222222222222222
21,hf_Llama-2-7b-longlora-16k-ft,-0.4153652449510289,0.2157633514871252,-0.0063775577193714,-0.0026424704120757,0.51459487344477,0.428422979239987,0.03665226383230359,-0.0012153792954794,8.0,0.9688888888888888
22,hf_Llama-2-7b-longlora-32k-ft,0.4033679094182138,-0.7897385839864107,0.0701169475529578,-0.0013745492753633,0.5089198354996185,0.2780376086660765,0.14310212365739008,0.002234795751261,8.0,1.0066666666666666
23,hf_Llama-2-7b-longlora-32k,0.6518063549987736,-0.0213981507096456,-0.0550055048267726,0.0001455704861301,0.6635125502591224,0.3081351678059415,0.1004831022671097,0.0155746470166825,4.0,1.3488888888888888
24,hf_Llama-2-13b-longlora-32k-ft,0.392560273780306,0.0019048096332076,0.5743526208453489,0.0007025151043496,0.530325,0.3522192270990713,0.05388554124685874,-1.1362438767648086e-16,15.0,26.07555555555556
25,hf_Llama-2-13b-longlora-64k,0.6605526540597065,0.0471071387613784,-0.0507808259464464,0.0010049798632619,0.6757276029983814,0.4931755423482004,0.28930092618807457,0.014295774119641,5.0,1.251111111111111
26,hf_Llama-2-13b-longlora-32k,0.3814716627185049,-0.0304255127497179,-0.0492551207577074,-0.0011150394406496,0.6620001078937952,0.43617883666792234,0.036383321955875014,0.0225983402171517,11.0,1.4066666666666667
27,hf_Llama-2-70b-longlora-32k,1.3891319519367136,0.1097724402227787,-0.1726356479272623,-0.0066160574411981,0.5861586542054911,0.37323584458007886,0.11007146469683027,0.0179258234379014,14.0,1.4577777777777778
28,hf_Llama-2-70b-chat-longlora-32k,0.3648878221784761,0.0649780653506917,-0.5134312244843994,0.0173063333686301,0.6875347599150872,0.1612040002547101,0.058658406542460115,0.0059724962786564,6.0,14.822222222222223
29,hf_LongAlpaca-7B,0.0403485277110135,-0.000633097799744,-0.0345810085130423,0.0003681472365003,0.6744081748561114,0.24391131076156397,0.13345024233820382,0.0065263401238516,5.0,5.073333333333333
30,hf_LongAlpaca-13B,0.0068451845736893,0.0010017627357895,0.0,0.0024871669842348,0.6206486304012346,0.3641103571457759,0.3209687414950233,1.0193939876251834e-15,0.0,24.002222222222223
31,hf_LongAlpaca-70B,0.1992503912211225,0.0546270271134645,0.1316289031715609,0.001828743835086,0.5126249999999999,0.24556091463726132,-0.02998246630867952,4.597017211338539e-17,15.0,4.282222222222222
32,hf_CodeLlama-7B,-0.0135704489459795,-0.1080699056059737,0.0,-0.0029593519471833,0.509375,0.37865222542577415,0.2099611569702858,7.067913962433003e-16,2.0,1.5066666666666664
33,hf_CodeLlama-13B,-0.0043150514682081,0.08251330046106,-0.2113017657033717,-0.0114834134160752,0.51235,0.3837164521469017,0.20029893528828335,-3.083470978548774e-16,0.0,17.45777777777778
34,hf_CodeLlama-34B,0.1384519377195019,0.0265069625469185,0.0,0.0092624644085566,0.5025,0.3439377575693433,-0.019530257090440293,0.0241655523694655,0.0,28.564444444444444
35,gemini-pro,0.8075273101856942,0.5867918164282314,0.5415789558495144,-0.0604622204857972,0.5691816816816817,0.799995254790019,0.06004139865395386,0.0351851851851851,3.0,15.066666666666668
36,human,0.8763923380183167,0.9128025791306396,0.3258367271665508,0.0174408661192101,0.7650971738460862,0.1854169085455534,0.1863431278346589,0.0262877170580104,10.3,17.22266666666667
37,random,-0.0036061672149007,0.0193421843579792,-0.044351819854102,0.000996181800074,0.6638201051398427,0.42484246268762166,0.1838573735064935,0.0009256000391611,9.106,0.991919191919192
