present bias,subaddictivity,delay-speedup asymmetry-1,delay-length asymmetry-2,score,run
1,1,1,0,11,84
0,1,1,0,11,85
1,0,1,1,10,86
0,0,0,1,13,87
0,0,1,1,10,88
0,0,1,0,13,89
0,1,1,1,5,90
1,1,0,0,8,91
0,0,0,0,10,92
1,0,1,0,14,93
1,0,1,0,9,94
0,0,1,1,8,95
0,1,0,1,7,96
0,0,0,0,8,97
1,0,0,1,11,98
0,0,0,0,9,99
0,1,1,1,6,100
1,0,1,1,6,101
0,0,1,0,12,102
0,1,0,0,11,103
1,1,1,1,8,104
0,0,1,0,6,105
1,0,1,1,9,106
0,1,0,1,9,107
0,0,0,0,11,108
1,0,1,0,6,109
0,0,0,0,12,110
0,1,0,1,13,111
1,0,0,0,10,112
1,1,0,0,10,113
0,0,0,1,9,114
1,1,0,0,9,115
0,0,0,0,8,116
1,1,1,1,10,117
1,0,0,0,13,118
0,0,0,0,8,119
1,0,0,1,9,120
0,1,0,0,9,121
0,1,0,0,7,122
0,1,0,0,10,123
1,1,1,1,8,124
0,0,0,0,12,125
0,1,1,1,6,126
1,1,1,0,9,127
0,0,1,0,13,128
1,0,1,1,4,129
0,1,0,0,9,130
1,1,0,0,4,131
0,0,0,1,9,132
1,0,0,0,12,133
0,0,0,0,8,134
1,1,0,1,8,135
1,0,0,1,8,136
0,1,0,1,8,137
0,1,1,0,8,138
1,1,0,0,10,139
1,0,1,0,8,140
0,0,1,1,10,141
1,0,0,0,10,142
0,1,1,0,7,143
0,1,0,0,6,144
0,0,0,0,10,145
1,0,1,1,8,146
0,0,0,0,10,147
1,1,1,0,12,148
0,0,0,1,5,149
1,1,1,0,8,150
1,0,0,0,8,151
0,0,0,0,8,152
1,0,1,0,8,153
0,1,0,1,15,154
0,0,0,0,13,155
0,1,1,0,10,156
1,1,1,1,4,157
0,1,0,0,12,158
0,0,0,0,12,159
0,1,1,1,7,160
0,0,0,1,14,161
1,0,1,1,8,162
1,1,1,1,2,163
0,1,0,0,9,164
1,0,1,0,11,165
1,1,1,1,6,166
0,0,0,1,13,167
0,0,0,0,10,168
0,1,0,1,9,169
1,0,0,0,11,170
0,0,0,0,6,171
1,0,1,0,7,172
0,1,1,0,6,173
1,0,0,1,8,174
0,1,0,1,12,175
1,1,0,1,8,176
1,1,1,0,6,177
0,1,1,1,7,178
1,1,0,0,4,179
0,0,0,1,11,180
1,0,1,1,6,181
0,0,0,0,11,182
1,1,0,0,7,183
0,1,1,1,9,184
0,1,1,1,4,185
1,1,1,0,4,186
1,1,1,0,12,187
0,0,0,0,10,188
0,0,0,0,12,189
0,0,1,0,10,190
0,0,0,0,11,191
0,0,0,0,14,192
1,0,1,1,7,193
1,0,1,0,10,194
0,1,0,0,6,195
0,0,0,1,9,196
1,0,0,0,8,197
0,1,1,1,7,198
1,0,0,1,10,199
1,0,0,0,12,200
1,1,0,1,7,201
0,0,0,1,10,202
0,1,1,1,9,203
0,0,0,1,8,204
1,1,1,1,4,205
0,0,0,0,12,206
1,0,1,1,7,207
1,0,0,0,16,208
0,0,1,1,9,209
0,0,0,0,8,210
1,1,0,0,8,211
0,0,0,0,13,212
1,0,1,1,4,213
1,0,1,0,8,214
1,1,1,0,10,215
1,0,1,0,14,216
1,0,1,0,10,217
1,0,0,0,10,218
0,0,0,0,13,219
1,1,0,1,8,220
1,1,1,1,10,221
0,1,0,1,13,222
1,0,1,0,8,223
0,1,1,0,10,224
0,1,1,0,5,225
0,1,0,1,10,226
0,1,1,1,7,227
1,1,0,0,10,228
1,1,1,1,6,229
1,1,1,0,8,230
1,0,1,1,5,231
0,0,0,0,6,232
1,0,1,0,4,233
1,1,0,1,9,234
1,1,1,0,8,235
0,0,1,1,7,236
1,0,0,0,6,237
0,0,0,0,13,238
0,1,0,1,13,239
0,1,0,1,8,240
0,0,0,0,14,241
1,0,1,0,10,242
0,0,1,1,11,243
1,0,0,0,11,244
0,0,1,0,9,245
0,0,0,0,11,246
1,1,1,1,7,247
1,1,1,0,7,248
0,1,0,0,12,249
0,0,1,1,9,250
0,1,1,0,7,251
1,1,0,1,7,252
0,1,0,1,11,253
0,1,0,0,15,254
1,1,1,1,6,255
1,1,0,1,8,256
0,1,1,0,10,257
1,0,0,0,11,258
0,1,0,0,9,259
1,0,0,0,14,260
1,0,1,1,13,261
1,0,0,1,12,262
1,1,1,0,4,263
0,1,1,0,7,264
1,0,1,1,6,265
0,1,1,0,9,266
1,0,0,0,9,267
1,0,1,1,4,268
1,0,1,0,8,269
1,1,1,0,9,270
0,0,0,0,13,271
1,0,1,1,5,272
0,0,0,0,10,273
1,0,1,0,10,274
0,0,0,0,10,275
0,0,1,0,11,276
1,0,1,0,6,277
0,1,0,1,13,278
0,1,0,1,11,279
1,1,0,0,10,280
0,0,1,0,10,281
0,0,1,1,7,282
0,0,0,1,13,283
1,0,1,0,8,284
0,0,0,0,12,285
1,0,0,1,10,286
1,1,0,1,13,287
0,1,0,1,10,288
1,0,1,0,6,289
0,1,1,0,11,290
1,0,0,1,11,291
0,0,1,0,8,292
0,1,0,1,7,293
1,0,1,0,12,294
1,0,0,0,8,295
1,1,0,0,9,296
0,0,0,0,6,297
0,0,1,1,9,298
0,1,1,0,9,299
0,0,1,0,6,300
0,0,1,0,11,301
0,1,1,1,11,302
1,0,0,1,9,303
1,0,0,0,9,304
1,1,0,0,7,305
1,0,0,0,9,306
1,0,1,1,10,307
0,0,1,0,13,308
0,0,0,0,7,309
1,1,1,0,12,310
1,0,1,0,7,311
1,1,0,0,12,312
1,0,0,1,11,313
0,1,1,0,13,314
1,0,0,1,8,315
0,0,0,0,9,316
1,1,1,1,10,317
0,1,0,1,8,318
1,1,0,0,7,319
1,1,0,0,5,320
0,0,1,1,13,321
1,1,0,0,8,322
0,0,0,0,9,323
1,0,1,1,11,324
0,1,1,0,10,325
0,1,0,1,8,326
1,1,0,0,11,327
0,0,0,0,10,328
0,0,0,0,10,329
0,1,1,1,6,330
1,1,0,1,6,331
0,0,1,0,9,332
0,0,0,1,12,333
1,0,0,0,11,334
0,0,0,0,12,335
0,1,0,0,6,336
1,0,0,1,9,337
1,0,1,1,7,338
1,0,0,1,7,339
0,1,0,1,12,340
0,1,1,1,7,341
0,1,1,0,5,342
0,0,1,0,10,343
0,0,1,0,8,344
1,0,0,1,8,345
0,1,0,1,10,346
0,0,1,1,12,347
0,0,0,1,12,348
1,0,1,0,11,349
0,0,0,0,15,350
1,0,0,0,14,351
1,1,0,0,6,352
0,0,1,1,10,353
0,1,0,1,4,354
1,1,0,0,6,355
1,0,0,1,7,356
1,0,1,0,10,357
0,0,0,0,7,358
1,1,1,1,11,359
0,0,1,1,12,360
1,0,1,1,5,361
0,0,0,0,12,362
0,1,0,0,6,363
1,1,1,0,7,364
0,1,1,0,11,365
0,0,1,1,7,366
0,0,1,0,7,367
1,0,1,1,7,368
1,0,0,0,16,369
1,0,0,0,8,370
0,1,1,1,11,371
1,0,0,0,12,372
0,1,0,1,7,373
1,1,0,1,10,374
0,1,0,1,6,375
1,0,0,0,14,376
0,0,0,0,6,377
1,1,1,1,5,378
0,1,0,0,11,379
0,0,0,0,8,380
1,1,0,1,5,381
0,0,1,0,9,382
1,0,0,1,11,383
1,0,0,1,5,384
1,1,1,0,8,385
0,0,1,0,11,386
1,0,1,1,7,387
1,1,0,1,7,388
1,1,1,0,11,389
0,1,1,1,7,390
1,0,1,1,7,391
0,0,1,0,10,392
1,0,1,1,10,393
1,1,1,1,2,394
0,0,0,0,7,395
0,1,0,1,6,396
0,0,1,1,6,397
0,0,1,0,13,398
0,1,1,1,8,399
1,0,0,1,6,400
0,0,1,0,11,401
1,0,0,1,7,402
0,0,0,1,12,403
1,1,1,0,6,404
0,0,1,0,9,405
0,1,0,0,11,406
1,1,1,1,7,407
0,0,0,1,7,408
1,1,0,1,9,409
0,0,0,0,7,410
1,0,0,1,9,411
0,0,0,0,13,412
0,0,1,1,9,413
1,0,1,0,11,414
1,0,1,1,9,415
0,0,1,1,10,416
0,1,1,0,5,417
0,1,0,1,13,418
1,1,0,0,11,419
1,0,0,1,7,420
0,0,1,0,12,421
0,0,0,0,12,422
1,1,0,1,11,423
0,1,0,1,9,424
1,1,0,0,10,425
1,0,1,1,10,426
0,1,1,0,8,427
0,0,1,1,9,428
0,0,0,1,12,429
0,0,0,0,5,430
1,0,0,1,9,431
0,0,0,0,10,432
1,1,0,1,8,433
1,1,1,0,9,434
1,1,0,0,10,435
1,0,1,1,10,436
0,0,0,1,13,437
0,0,0,0,12,438
1,1,1,1,3,439
0,1,0,1,7,440
0,1,0,0,8,441
0,0,0,0,9,442
1,1,0,0,14,443
0,0,0,0,13,444
1,1,0,1,7,445
1,0,0,1,9,446
1,0,1,1,11,447
1,1,0,1,4,448
0,0,0,0,11,449
0,0,0,0,13,450
0,0,1,1,9,451
0,0,0,0,10,452
1,1,1,0,8,453
1,0,1,1,7,454
0,0,1,1,10,455
1,0,1,1,10,456
0,0,1,1,13,457
0,1,1,1,13,458
0,0,1,1,8,459
0,0,1,0,10,460
1,0,1,0,7,461
0,1,0,0,11,462
0,0,1,0,14,463
0,1,0,1,10,464
1,0,1,0,11,465
1,1,1,1,8,466
1,0,1,1,10,467
1,0,0,0,7,468
0,1,0,0,11,469
0,0,1,0,9,470
0,1,0,0,13,471
1,0,1,1,10,472
1,1,1,1,8,473
0,0,0,1,10,474
0,0,0,0,13,475
1,0,0,0,11,476
0,1,1,1,8,477
0,0,0,1,10,478
0,0,1,1,9,479
0,0,1,0,12,480
0,1,1,0,10,481
0,1,1,1,5,482
0,0,1,1,5,483
0,1,1,0,13,484
1,0,1,1,5,485
0,1,0,0,8,486
1,0,0,1,5,487
1,1,0,0,6,488
0,1,1,1,11,489
0,0,0,0,7,490
1,1,0,0,5,491
0,1,0,1,10,492
0,0,0,0,6,493
1,1,1,1,7,494
0,0,0,0,11,495
0,1,0,1,8,496
1,1,1,1,5,497
1,0,0,1,7,498
1,1,0,0,7,499
0,1,1,1,10,500
0,1,0,1,9,501
0,0,0,0,7,502
1,1,0,1,6,503
0,1,0,1,9,504
1,0,0,1,9,505
0,1,0,1,6,506
0,0,1,1,4,507
0,0,1,1,10,508
0,1,1,0,8,509
1,0,1,1,6,510
0,0,0,0,10,511
1,1,1,1,5,512
0,0,0,0,11,513
1,1,1,1,6,514
0,1,0,0,8,515
0,1,0,1,9,516
0,0,0,0,9,517
0,0,0,0,9,518
0,0,0,0,9,519
1,0,0,1,9,520
0,1,1,0,10,521
0,1,1,0,9,522
0,1,1,1,6,523
1,1,1,1,4,524
1,0,0,1,10,525
1,0,1,1,4,526
0,1,1,0,9,527
1,1,0,0,11,528
0,1,0,0,12,529
0,0,0,0,9,530
0,1,1,0,9,531
0,0,0,1,10,532
1,1,0,0,14,533
0,1,0,1,11,534
1,0,1,1,8,535
0,0,0,1,13,536
0,1,0,0,7,537
1,0,0,1,6,538
0,0,0,0,10,539
0,0,1,0,14,540
1,1,1,1,3,541
0,1,1,1,6,542
0,0,0,0,15,543
0,0,0,0,14,544
1,1,1,0,9,545
1,0,1,0,7,546
1,1,1,1,3,547
1,1,1,0,9,548
1,1,1,1,8,549
0,0,0,0,8,550
0,1,1,1,6,551
0,0,0,0,9,552
0,0,1,0,7,553
1,1,0,1,5,554
1,0,1,0,13,555
0,0,0,0,8,556
1,0,1,0,8,557
0,0,0,0,11,558
1,1,0,1,5,559
0,0,0,0,8,560
0,0,0,1,12,561
0,1,0,1,12,562
0,0,0,1,10,563
1,0,1,1,6,564
0,0,0,0,11,565
1,0,1,1,7,566
0,0,0,0,9,567
0,0,1,1,6,568
1,0,0,0,6,569
1,1,0,0,13,570
0,0,0,0,11,571
0,0,1,1,7,572
0,0,0,0,11,573
1,1,0,0,11,574
1,1,0,1,8,575
1,1,1,0,11,576
0,0,0,0,10,577
0,1,1,0,7,578
1,1,1,0,7,579
1,0,0,0,6,580
1,1,0,1,13,581
0,0,1,1,10,582
0,1,1,0,14,583
1,1,1,1,5,584
1,1,0,1,11,585
0,0,0,0,6,586
0,0,0,0,15,587
0,0,1,1,11,588
1,1,0,1,11,589
0,0,0,0,7,590
0,1,1,1,7,591
1,1,0,0,6,592
1,0,0,0,10,593
0,1,1,1,8,594
0,0,0,0,9,595
0,0,0,0,11,596
0,1,0,0,8,597
0,0,1,1,6,598
0,0,0,0,13,599
0,1,0,0,8,600
0,0,0,0,11,601
1,1,0,0,7,602
1,0,0,0,11,603
1,0,1,0,9,604
0,0,0,0,9,605
1,1,1,0,8,606
1,0,1,0,13,607
1,1,1,0,8,608
0,0,0,1,9,609
0,0,1,1,9,610
1,0,1,0,9,611
1,0,0,0,12,612
1,0,0,1,7,613
0,0,0,1,12,614
0,0,0,0,11,615
0,0,0,1,10,616
0,1,1,1,9,617
0,1,0,0,12,618
0,1,0,1,11,619
0,1,0,1,10,620
0,0,0,0,10,621
0,0,1,0,11,622
0,0,1,0,12,623
0,1,1,1,10,624
1,1,1,1,7,625
1,1,0,1,8,626
0,0,0,0,12,627
1,1,1,0,8,628
1,1,0,1,7,629
1,0,0,0,10,630
0,1,1,0,8,631
1,1,0,0,6,632
0,1,1,0,10,633
1,0,0,0,10,634
0,1,0,1,8,635
1,1,1,1,7,636
0,0,1,0,10,637
0,1,1,1,9,638
0,0,0,1,13,639
0,1,1,1,6,640
0,0,0,0,8,641
0,1,0,0,11,642
1,0,0,0,7,643
0,1,0,1,12,644
1,0,1,1,9,645
1,1,1,1,8,646
1,0,1,1,7,647
0,0,1,1,14,648
1,1,0,1,9,649
1,1,1,1,2,650
1,0,1,1,9,651
1,1,0,1,8,652
1,0,0,0,8,653
1,0,1,0,9,654
0,0,0,0,11,655
1,0,1,1,5,656
0,0,0,1,12,657
0,1,0,0,10,658
1,0,1,0,6,659
1,1,0,0,6,660
0,0,0,0,5,661
0,1,0,1,11,662
0,1,0,0,12,663
0,0,0,0,11,664
1,1,0,1,6,665
0,0,1,0,10,666
0,0,0,1,8,667
1,1,0,0,8,668
0,0,1,0,10,669
0,1,1,0,12,670
1,0,0,1,6,671
0,0,0,0,9,672
1,1,0,0,10,673
1,0,1,0,8,674
0,1,1,1,10,675
0,0,0,0,8,676
0,0,0,1,13,677
0,1,0,0,10,678
1,0,1,1,1,679
0,1,1,1,8,680
1,1,0,1,15,681
0,0,0,0,7,682
0,1,0,0,12,683
1,1,0,1,7,684
0,1,1,0,10,685
1,0,0,0,13,686
1,0,0,1,9,687
0,1,0,1,5,688
1,0,1,0,10,689
1,0,0,0,13,690
0,0,0,0,9,691
0,0,0,0,10,692
0,0,0,0,9,693
1,1,0,0,4,694
0,0,0,0,12,695
1,1,0,1,5,696
0,1,0,1,12,697
0,1,1,0,7,698
1,0,0,1,13,699
1,1,0,1,6,700
0,0,0,0,10,701
1,1,0,1,6,702
1,1,0,1,9,703
1,1,0,1,13,704
1,0,1,1,12,705
0,0,0,0,9,706
0,0,0,0,9,707
0,1,0,1,12,708
0,0,0,1,9,709
0,0,0,0,9,710
1,1,1,0,6,711
1,0,0,0,9,712
0,0,0,1,13,713
0,1,1,1,9,714
0,0,1,0,9,715
1,1,1,0,11,716
1,1,1,1,10,717
0,0,1,0,12,718
1,0,0,0,10,719
1,1,1,0,8,720
0,0,0,0,14,721
0,0,1,1,12,722
0,0,0,0,9,723
1,0,1,0,9,724
1,1,1,1,6,725
1,0,0,1,6,726
1,0,1,1,8,727
0,1,0,1,13,728
0,1,0,0,9,729
1,0,0,0,8,730
0,0,1,1,11,731
0,0,1,1,12,732
0,0,0,0,15,733
1,0,1,1,9,734
0,1,0,1,9,735
0,0,0,0,10,736
0,0,0,0,8,737
0,0,1,1,10,738
0,0,0,0,9,739
0,0,0,0,14,740
0,0,1,1,12,741
0,0,0,0,9,742
0,0,1,1,10,743
0,0,0,0,8,744
1,1,0,0,8,745
0,1,1,0,15,746
0,0,0,1,11,747
1,0,1,1,7,748
0,1,0,1,10,749
0,1,1,0,6,750
0,0,0,1,7,751
1,1,0,0,6,752
1,1,1,0,8,753
0,0,0,1,10,754
1,1,0,1,10,755
1,1,0,1,12,756
0,1,1,0,4,757
0,1,0,1,12,758
0,1,0,1,8,759
0,0,0,0,11,760
1,1,0,0,5,761
0,1,1,1,11,762
1,0,1,0,10,763
0,0,0,0,13,764
1,0,0,1,8,765
1,1,0,1,8,766
0,1,1,1,7,767
0,0,0,1,7,768
0,1,0,0,12,769
0,0,0,1,10,770
0,1,1,1,9,771
0,0,1,0,14,772
1,1,0,0,5,773
0,1,0,0,10,774
0,0,0,0,9,775
1,0,1,0,8,776
0,0,1,1,11,777
0,1,1,0,8,778
1,0,1,0,13,779
0,0,0,0,13,780
0,0,0,0,9,781
1,0,0,1,9,782
0,0,0,0,9,783
0,0,1,1,11,784
0,0,0,1,5,785
0,0,1,1,10,786
0,0,0,0,7,787
1,1,1,0,8,788
0,1,0,1,9,789
0,0,1,0,14,790
0,0,0,0,11,791
0,0,0,0,10,792
1,0,0,0,9,793
1,1,1,0,7,794
0,0,1,0,12,795
1,0,0,1,10,796
0,1,1,0,11,797
0,0,0,1,7,798
0,0,0,0,8,799
0,1,0,1,10,800
0,1,0,0,13,801
0,0,0,0,11,802
1,1,1,1,6,803
0,0,1,0,11,804
1,1,1,1,7,805
0,0,0,1,10,806
1,1,0,0,5,807
1,0,0,0,7,808
0,0,0,0,11,809
0,0,1,0,9,810
0,1,0,0,14,811
0,0,0,1,7,812
1,0,0,1,10,813
1,0,0,0,10,814
0,0,1,0,11,815
0,0,1,0,12,816
1,1,1,0,11,817
0,1,0,1,14,818
0,0,0,1,9,819
1,0,1,1,6,820
1,0,1,0,10,821
0,0,0,1,11,822
0,1,0,1,10,823
1,1,1,0,4,824
1,1,1,1,11,825
0,1,0,0,9,826
0,0,0,0,11,827
1,1,0,1,8,828
1,0,1,1,10,829
1,1,1,0,8,830
1,0,0,1,5,831
1,1,0,1,6,832
1,1,1,1,9,833
0,0,0,0,6,834
1,0,1,1,9,835
0,0,1,1,10,836
0,0,0,0,11,837
1,0,0,0,7,838
0,1,1,1,8,839
0,1,1,1,10,840
0,1,1,1,8,841
0,0,0,1,9,842
0,1,0,1,9,843
0,0,0,1,7,844
1,1,1,0,4,845
0,1,1,1,4,846
1,0,0,0,10,847
1,0,1,1,9,848
1,0,1,0,7,849
0,1,1,1,8,850
0,1,0,0,9,851
0,0,1,1,12,852
1,1,1,0,11,853
0,1,1,0,11,854
1,1,1,1,8,855
1,1,0,0,9,856
0,1,0,1,9,857
1,1,0,1,8,858
1,1,1,1,9,859
0,0,0,0,7,860
0,0,1,1,7,861
1,1,0,1,7,862
0,0,1,1,9,863
0,0,0,1,6,864
0,0,1,0,11,865
1,0,1,0,5,866
0,0,0,0,9,867
1,0,1,0,9,868
1,1,0,0,13,869
1,1,0,1,6,870
0,1,0,0,9,871
1,0,1,0,8,872
1,1,1,1,4,873
0,0,0,0,12,874
0,1,0,0,9,875
0,0,0,0,7,876
1,1,0,1,9,877
0,0,1,0,11,878
0,0,1,0,12,879
0,0,1,0,10,880
0,0,0,1,8,881
0,0,0,0,9,882
1,1,1,1,5,883
0,0,1,0,14,884
1,0,1,1,12,885
1,0,0,1,9,886
0,1,0,0,8,887
0,0,0,0,15,888
0,1,1,1,4,889
1,1,0,1,10,890
1,1,1,1,6,891
0,0,1,0,15,892
1,1,1,1,8,893
0,0,0,0,14,894
1,1,0,0,13,895
1,1,1,0,11,896
1,0,0,0,10,897
0,1,1,0,12,898
1,0,1,1,12,899
1,0,1,1,8,900
0,1,1,0,10,901
0,1,1,1,7,902
0,1,0,1,12,903
0,0,0,1,10,904
1,1,0,0,10,905
0,1,1,1,7,906
1,1,0,1,6,907
0,1,1,1,10,908
0,0,0,0,11,909
1,1,0,0,9,910
1,0,0,1,10,911
0,0,0,0,8,912
0,0,0,0,11,913
0,0,0,1,7,914
1,1,0,0,7,915
1,1,1,1,8,916
0,1,1,1,7,917
0,0,0,0,11,918
1,0,1,0,9,919
0,0,1,1,9,920
0,1,1,1,7,921
1,1,0,0,15,922
0,0,0,0,5,923
0,1,0,1,12,924
0,0,1,0,8,925
0,1,1,1,11,926
0,0,0,0,9,927
0,0,0,0,11,928
1,0,1,0,9,929
0,0,0,1,10,930
0,0,1,0,11,931
0,0,1,1,5,932
1,0,0,1,14,933
0,1,1,1,8,934
0,0,1,1,11,935
0,0,1,1,13,936
1,1,1,1,8,937
0,0,0,0,12,938
0,1,1,1,7,939
0,0,0,0,7,940
0,0,0,1,10,941
0,1,1,0,9,942
0,1,1,0,14,943
0,0,0,1,6,944
0,1,0,1,9,945
0,1,0,0,11,946
1,1,1,1,11,947
1,0,0,1,9,948
0,0,0,0,10,949
1,1,0,0,10,950
0,0,0,0,7,951
1,1,0,0,8,952
0,1,1,0,9,953
1,0,0,1,7,954
1,1,0,0,6,955
0,0,0,0,11,956
0,0,0,0,10,957
0,1,1,1,6,958
0,1,1,0,10,959
0,0,0,0,14,960
0,0,0,0,9,961
1,1,0,1,9,962
1,1,0,0,12,963
0,0,0,0,13,964
0,0,1,1,10,965
0,1,1,0,6,966
0,1,0,1,8,967
1,0,1,1,6,968
0,1,1,1,8,969
1,1,0,1,10,970
0,0,0,0,11,971
0,1,1,0,7,972
0,1,1,1,7,973
0,0,0,1,12,974
1,0,1,1,6,975
1,1,1,0,4,976
0,1,0,0,12,977
0,0,0,0,12,978
0,0,0,0,8,979
0,0,1,1,13,980
0,1,0,0,4,981
0,1,1,0,12,982
1,0,1,1,7,983
0,0,0,1,7,984
0,0,0,0,11,985
1,0,1,0,10,986
1,0,0,0,11,987
1,0,0,0,8,988
0,1,1,0,10,989
1,0,0,0,7,990
0,0,0,0,9,991
1,0,1,1,8,992
1,1,0,0,11,993
0,0,0,0,12,994
0,1,1,0,12,995
0,1,1,0,9,996
1,0,0,0,10,997
1,1,0,1,8,998
0,0,0,0,6,999
