engine,run,performance_score1,performance_score1_name,performance_score1_CI,behaviour_score1,behaviour_score1_name,behaviour_score1_CI,behaviour_score2,behaviour_score2_name,behaviour_score2_CI,behaviour_score3,behaviour_score3_name,behaviour_score3_CI,behaviour_score4,behaviour_score4_name,behaviour_score4_CI
hf_CodeLlama-13B,0,0.7115861271204225,1 - Difference to bayes optimal posterior prediction,0.0103764857476432,-0.0043150514682081,prior weighting,0.0255114752184437,0.08251330046106,likelihood weighting,0.0252812518902695,-0.0522952232439725,prior / likelihood,0.3095950544019677,-0.0868283519292681,prior - likelihood,0.0359162507085654
llama_65,0,0.8774358770015426,1 - Difference to bayes optimal posterior prediction,0.00152560475031,0.0,prior weighting,,0.0,likelihood weighting,,0.0,prior / likelihood,0.0,0.0,prior - likelihood,
hf_LongAlpaca-13B,0,0.7001011155677572,1 - Difference to bayes optimal posterior prediction,0.0091893295641116,0.0068451845736893,prior weighting,0.0034372582578013,0.0010017627357895,likelihood weighting,0.003442004204183,6.833139554042788,prior / likelihood,23.727709454730615,0.0058434218378998,prior - likelihood,0.0048643742940317
claude-1,0,0.8415526693968199,1 - Difference to bayes optimal posterior prediction,0.0031729703677866,0.7397200555455824,prior weighting,0.0116942300825621,0.2204284521206085,likelihood weighting,0.0118116690147762,3.35582838072483,prior / likelihood,0.1874848663681433,0.5192916034249739,prior - likelihood,0.0166213880930121
hf_LongAlpaca-70B,0,0.7562439949397596,1 - Difference to bayes optimal posterior prediction,0.0188155506666621,0.1992503912211225,prior weighting,0.0662352291650339,0.0546270271134645,likelihood weighting,0.0642039199217425,3.647469059725037,prior / likelihood,4.455093239103066,0.144623364107658,prior - likelihood,0.0922455902244767
random,0,0.6558618302484439,1 - Difference to bayes optimal posterior prediction,0.003349510967211483,-0.003606167214900757,prior weighting,0.02063821692725965,0.01934218435797926,likelihood weighting,0.020764033421724143,-0.1864405357822525,prior / likelihood,1.0856146054568787,-0.022948351572880017,prior - likelihood,0.029275947155900935
gpt-4,0,0.8526909770223113,1 - Difference to bayes optimal posterior prediction,0.0291576804475968,0.5822239763891435,prior weighting,0.1086374499430587,0.3491732306918549,likelihood weighting,0.1634778779142737,1.667435889158856,prior / likelihood,0.8403839841080298,0.2330507456972885,prior - likelihood,0.1962832445663276
hf_Llama-2-7b-longlora-16k-ft,0,0.4990478009047424,1 - Difference to bayes optimal posterior prediction,0.0306989749487143,-0.4153652449510289,prior weighting,0.9868709078892116,0.2157633514871252,likelihood weighting,1.025225120425591,-1.9250963710387776,prior / likelihood,10.22710622863255,-0.6311285964381541,prior - likelihood,1.4230252058167294
hf_mpt-30b-instruct,0,0.7534547875953798,1 - Difference to bayes optimal posterior prediction,0.0162267501064062,0.3707769822634027,prior weighting,0.0569539738555085,-0.00785618504231,likelihood weighting,0.0560737083785231,-47.19555105519491,prior / likelihood,336.93737309173406,0.3786331673057128,prior - likelihood,0.079925064336875
llama-2-7,0,0.7097964125621172,1 - Difference to bayes optimal posterior prediction,0.0185187937747796,0.1956831599311012,prior weighting,0.0866158086506943,0.0125828277865485,likelihood weighting,0.087085952496601,15.551604396929967,prior / likelihood,107.8527999611794,0.1831003321445527,prior - likelihood,0.1228261431066447
llama-2-7-chat,0,0.69628982966904,1 - Difference to bayes optimal posterior prediction,0.0216842159686363,0.0751776721562974,prior weighting,0.1745523121794208,-0.0283919754300283,likelihood weighting,0.1798435106310892,-2.6478492960650732,prior / likelihood,17.863566918621885,0.1035696475863258,prior - likelihood,0.2506236182072566
hf_mpt-30b-chat,0,0.780160951072083,1 - Difference to bayes optimal posterior prediction,0.0133781855732468,0.5824512845903381,prior weighting,0.0640982454843758,0.1022268209836853,likelihood weighting,0.0621084818447056,5.6976366768100215,prior / likelihood,3.5179603754724083,0.4802244636066527,prior - likelihood,0.0892527231586209
hf_Llama-2-70b-longlora-32k,0,0.7720158878522319,1 - Difference to bayes optimal posterior prediction,0.019816170406902,1.3891319519367136,prior weighting,0.243200157137286,0.1097724402227787,likelihood weighting,0.2366709130002884,12.654651286948951,prior / likelihood,27.37340866481869,1.279359511713935,prior - likelihood,0.3393514954910184
hf_Llama-2-13b-longlora-64k,0,0.7361148883018447,1 - Difference to bayes optimal posterior prediction,0.0188741626673821,0.6605526540597065,prior weighting,0.1649436461283618,0.0471071387613784,likelihood weighting,0.1441905707475865,14.022347173445205,prior / likelihood,43.06368635342064,0.613445515298328,prior - likelihood,0.2190829228639992
hf_CodeLlama-7B,0,0.6786860968866216,1 - Difference to bayes optimal posterior prediction,0.0176507353752977,-0.0135704489459795,prior weighting,0.0763306897961739,-0.1080699056059737,likelihood weighting,0.0787191867081942,0.1255710261787198,prior / likelihood,0.7122063609238979,0.0944994566599942,prior - likelihood,0.1096498269983098
text-davinci-002,0,0.8236979088377889,1 - Difference to bayes optimal posterior prediction,0.0274128079022641,0.3469115403226955,prior weighting,0.1039737125303636,0.4471030612282217,likelihood weighting,0.1579560361668673,0.7759095618126759,prior / likelihood,0.3594729612609645,-0.1001915209055261,prior - likelihood,0.189104844620373
text-bison@001,0,0.8478080930902514,1 - Difference to bayes optimal posterior prediction,0.0261390373019138,1.26454674933239,prior weighting,0.4970085452879885,2.241676691504306,likelihood weighting,0.8309623332064833,0.5641075513364061,prior / likelihood,0.3047665858057896,-0.9771299421719156,prior - likelihood,0.9682540437804766
llama-2-13-chat,0,0.6927358134668596,1 - Difference to bayes optimal posterior prediction,0.0235700216507328,0.2977064032735469,prior weighting,0.3961495013537909,0.3855397045327878,likelihood weighting,0.4133432370680018,0.7721809187832398,prior / likelihood,1.319530390732714,-0.0878333012592409,prior - likelihood,0.572526906837322
hf_Llama-2-7b-longlora-32k-ft,0,0.4910421354474278,1 - Difference to bayes optimal posterior prediction,0.0316135892248479,0.4033679094182138,prior weighting,0.9680771817669044,-0.7897385839864107,likelihood weighting,0.9740404203813074,-0.5107613045599336,prior / likelihood,1.3782166940368987,1.1931064934046245,prior - likelihood,1.3732909998956324
hf_Llama-2-13b-longlora-32k-ft,0,0.7439257019217664,1 - Difference to bayes optimal posterior prediction,0.019349378885503,0.392560273780306,prior weighting,0.0906445861551172,0.0019048096332076,likelihood weighting,0.0897093949128632,206.0889796736473,prior / likelihood,9706.135222005218,0.3906554641470983,prior - likelihood,0.1275312374866037
claude-2,0,0.8667623479307155,1 - Difference to bayes optimal posterior prediction,0.0020606975640445,0.7273125489017047,prior weighting,0.008508095303289,0.3533959151873142,likelihood weighting,0.0084958112920559,2.0580672204889505,prior / likelihood,0.0550235033581809,0.3739166337143905,prior - likelihood,0.0120235807977521
hf_falcon-40b-instruct,0,0.744202000190381,1 - Difference to bayes optimal posterior prediction,0.0160134635244829,0.3382946491585152,prior weighting,0.0532324770610783,-0.0446582786478687,likelihood weighting,0.0549603605862097,-7.575183356841271,prior / likelihood,9.398574501483392,0.382952927806384,prior - likelihood,0.0765136448604066
human,0,0.8277089546695869,1 - Difference to bayes optimal posterior prediction,0.0034693445774751,0.8763923380183167,prior weighting,0.0006004273965857,0.9128025791306396,likelihood weighting,0.0005973125781646,0.960111592643614,prior / likelihood,0.000909617504046,-0.0364102411123228,prior - likelihood,0.0008469329221399
hf_Llama-2-7b-longlora-8k-ft,0,0.669525849512906,1 - Difference to bayes optimal posterior prediction,0.0216368741989889,0.2295197995774806,prior weighting,0.1806109070811174,0.0151954644567989,likelihood weighting,0.1849872341735768,15.104493859336138,prior / likelihood,184.2635175171501,0.2143243351206817,prior - likelihood,0.258535445468999
vicuna_7,0,0.7541640976048772,1 - Difference to bayes optimal posterior prediction,0.0286073395199229,0.0947670545387112,prior weighting,0.0862293240426825,0.6741109795446216,likelihood weighting,0.1392303814404665,0.1405807907219204,prior / likelihood,0.1311695977690258,-0.5793439250059105,prior - likelihood,0.1637699466963208
llama-2-70,0,0.773257876831065,1 - Difference to bayes optimal posterior prediction,0.0205750835358819,1.2899389211409602,prior weighting,0.2340368249399303,0.1909800351861935,likelihood weighting,0.235451265083732,6.754312930581203,prior / likelihood,8.416797039417482,1.0989588859547663,prior - likelihood,0.3319797187442231
hf_Llama-2-7b-longlora-32k,0,0.7271096410586915,1 - Difference to bayes optimal posterior prediction,0.0209562837688364,0.6518063549987736,prior weighting,0.1742098031413758,-0.0213981507096456,likelihood weighting,0.1619817407524016,-30.460873177463828,prior / likelihood,230.72927225439952,0.6732045057084193,prior - likelihood,0.237880515906064
hf_koala-13B-HF,0,0.8040210098679859,1 - Difference to bayes optimal posterior prediction,0.0020735693008304,1.07817715315763,prior weighting,0.0386110425870906,1.0038641125907997,likelihood weighting,0.0386923749255568,1.0740269919352343,prior / likelihood,0.0565070256659993,0.0743130405668301,prior - likelihood,0.0546618009860815
hf_Llama-2-7b-longlora-100k-ft,0,0.5184992218392969,1 - Difference to bayes optimal posterior prediction,0.0308951549630592,0.8553277324824349,prior weighting,0.9784834149531818,-0.1304220563287454,likelihood weighting,0.9625101886093792,-6.558152482479437,prior / likelihood,48.97696861935378,0.9857497888111804,prior - likelihood,1.3725362131890375
vicuna_13,0,0.7636936507772089,1 - Difference to bayes optimal posterior prediction,0.0267776223142477,0.7255481655445739,prior weighting,0.320166383512869,0.1625522535832271,likelihood weighting,0.4991286350948684,4.463476510173953,prior / likelihood,13.846237322282851,0.5629959119613468,prior - likelihood,0.5929889606926725
hf_LongAlpaca-7B,0,0.6953867373131616,1 - Difference to bayes optimal posterior prediction,0.0210076745945209,0.0403485277110135,prior weighting,0.0840136268040496,-0.000633097799744,likelihood weighting,0.0861033934723876,0.0,prior / likelihood,8668.76527748281,0.0409816255107576,prior - likelihood,0.1202999744647975
hf_mpt-30b,0,0.6924791851909544,1 - Difference to bayes optimal posterior prediction,0.0093398991438599,0.0099214412702557,prior weighting,0.0111423855319741,0.0147343660734911,likelihood weighting,0.0110273444575751,0.6733537921326369,prior / likelihood,0.908749180056172,-0.0048129248032354,prior - likelihood,0.0156765774686045
llama_7,0,0.7560404871157494,1 - Difference to bayes optimal posterior prediction,0.0247164993670597,0.0534674602281199,prior weighting,0.0743090600646951,0.4503241403665052,likelihood weighting,0.0986415343702004,0.1187310548899386,prior / likelihood,0.1670493279250966,-0.3968566801383852,prior - likelihood,0.1234989421436714
hf_vicuna-7b-v1.5,0,0.7172006098130589,1 - Difference to bayes optimal posterior prediction,0.0028028589791684,0.3852290033588897,prior weighting,0.0143262663250343,-0.0374635589334211,likelihood weighting,0.0142884086554467,-10.282765821674982,prior / likelihood,3.940393628838373,0.4226925622923109,prior - likelihood,0.02023364842832
hf_vicuna-13b-v1.5,0,0.7323340887086944,1 - Difference to bayes optimal posterior prediction,0.0024510422189837,0.5951352833531443,prior weighting,0.0195729662842111,0.0498868177436998,likelihood weighting,0.0197652535995292,11.92971029763275,prior / likelihood,4.742830474087261,0.5452484656094444,prior - likelihood,0.0278166543462108
hf_Llama-2-70b-longlora-32k_sb,0,0.8215290505358251,1 - Difference to bayes optimal posterior prediction,0.0133825245145901,1.6730720580633849,prior weighting,0.3509986727837535,1.5915663217213485,likelihood weighting,0.3515366991772847,1.0512110210109775,prior / likelihood,0.3202291295510051,0.0815057363420364,prior - likelihood,0.4967676712150431
gpt-4_sb,0,0.9259396293916532,1 - Difference to bayes optimal posterior prediction,0.0270937858999669,0.8673672367215846,prior weighting,0.1265518839563765,0.5438136153681681,likelihood weighting,0.1142164461120944,1.5949715347497635,prior / likelihood,0.4078883907207389,0.3235536213534165,prior - likelihood,0.1704722144379698
llama-2-70_sb,0,0.5863179899666922,1 - Difference to bayes optimal posterior prediction,0.0993993516342553,2.4856682151431104,prior weighting,2.788434426187985,-1.1075127445110169,likelihood weighting,2.372084581639849,-2.2443698525930458,prior / likelihood,5.4264604646315115,3.593180959654127,prior - likelihood,3.6608949468133902
claude-1_sb,0,0.8187407520914868,1 - Difference to bayes optimal posterior prediction,0.0128015380583194,0.6254622791525039,prior weighting,0.0844568022122399,0.6454236020010328,likelihood weighting,0.0878725964368131,0.9690725241738264,prior / likelihood,0.1858230992089295,-0.0199613228485289,prior - likelihood,0.121879221545202
claude-2_cot,0,0.8800597946660313,1 - Difference to bayes optimal posterior prediction,0.0193004347993806,0.7357103386967785,prior weighting,0.132571419414353,0.961927961179324,likelihood weighting,0.1350035338887489,0.7648289356250725,prior / likelihood,0.1746885285745614,-0.2262176224825456,prior - likelihood,0.1892118796692926
claude-1_cot,0,0.8749761887454541,1 - Difference to bayes optimal posterior prediction,0.0110912718684164,0.7516476815672708,prior weighting,0.0707423809924299,0.8949762990888565,likelihood weighting,0.0701470237596252,0.8398520523197056,prior / likelihood,0.1028642534312924,-0.1433286175215856,prior - likelihood,0.0996247429648456
llama-2-70-chat_sb,0,0.7839505833303045,1 - Difference to bayes optimal posterior prediction,0.0177382877278849,0.5370791455119045,prior weighting,0.1323708051985142,0.1314121169390208,likelihood weighting,0.1323177415990821,4.0869834382253,prior / likelihood,4.236637065761761,0.4056670285728836,prior - likelihood,0.1871630701040792
hf_LongAlpaca-70B_sb,0,0.7488148713251599,1 - Difference to bayes optimal posterior prediction,0.0200030807028157,0.3436894155190934,prior weighting,0.1104070330222004,0.2404775238908597,likelihood weighting,0.1101229760581329,1.4291955853432528,prior / likelihood,0.7994553774618759,0.1032118916282336,prior - likelihood,0.1559383942352408
llama-2-70-chat_cot,0,0.7414250596270047,1 - Difference to bayes optimal posterior prediction,0.0200767133854698,0.3629805233373027,prior weighting,0.1723216538098436,0.1601292528449837,likelihood weighting,0.1805034728306965,2.2667970835328455,prior / likelihood,2.772581035464969,0.202851270492319,prior - likelihood,0.249552110942187
hf_LongAlpaca-70B_cot,0,0.7898013023088023,1 - Difference to bayes optimal posterior prediction,0.0173292696721627,0.2311074331648573,prior weighting,0.096480488885025,0.7030423903729897,likelihood weighting,0.1023730278388693,0.3287247487911026,prior / likelihood,0.145341317701422,-0.4719349572081323,prior - likelihood,0.1406723909101973
llama-2-70_cot,0,0.7732738108120724,1 - Difference to bayes optimal posterior prediction,0.021093104474589,0.6799774839788463,prior weighting,0.2642399599556436,0.3595367879729332,likelihood weighting,0.2641841800720038,1.8912598285492737,prior / likelihood,1.572054148208042,0.320440696005913,prior - likelihood,0.3736522948379643
claude-2_sb,0,0.8946424729626529,1 - Difference to bayes optimal posterior prediction,0.0116203243678372,0.8263784933738771,prior weighting,0.0630410273956235,0.7207181069231027,likelihood weighting,0.0626313680651317,1.146604317882148,prior / likelihood,0.1325872332034827,0.1056603864507744,prior - likelihood,0.088864275166153
gpt-4_cot,0,0.963071682412762,1 - Difference to bayes optimal posterior prediction,0.0144742335196737,0.8509816040550527,prior weighting,0.0777854172855291,1.1234423845476702,likelihood weighting,0.0775913975859099,0.7574768548524027,prior / likelihood,0.0867807444995835,-0.2724607804926174,prior - likelihood,0.1098680850912522
hf_Llama-2-70b-longlora-32k_cot,0,0.7682661415368074,1 - Difference to bayes optimal posterior prediction,0.022039467026737,0.4063350073376314,prior weighting,0.269894773720683,0.285963879880144,likelihood weighting,0.2778491314700941,1.4209312291746024,prior / likelihood,1.6723801067918238,0.1203711274574873,prior - likelihood,0.3873542677452055
hf_Llama-2-70b-chat-longlora-32k_sb,0,0.8079356408792898,1 - Difference to bayes optimal posterior prediction,0.0144390426851376,0.5739737107819962,prior weighting,0.0879827031174922,0.3341506931417429,likelihood weighting,0.0948293395904253,1.7177091730242888,prior / likelihood,0.5540374458814582,0.2398230176402532,prior - likelihood,0.1293582610234731
hf_Llama-2-70b-chat-longlora-32k_cot,0,0.7486431823874318,1 - Difference to bayes optimal posterior prediction,0.0184888021431107,0.3920539647625213,prior weighting,0.142661242097415,0.3002606757493097,likelihood weighting,0.1473279961210233,1.305711991036251,prior / likelihood,0.7976221771681651,0.0917932890132115,prior - likelihood,0.2050799074453992
gemini-pro,0,0.8775499782576244,1 - Difference to bayes optimal posterior prediction,0.04336870221382,0.8075273101856942,prior weighting,0.2093944336419425,0.5867918164282314,likelihood weighting,0.2055083446576693,1.3761734359232671,prior / likelihood,0.5996938995372199,0.2207354937574628,prior - likelihood,0.293393436470834
text-bison@002_cot,0,0.8595755816896746,1 - Difference to bayes optimal posterior prediction,0.0315168318939763,0.438915428990335,prior weighting,0.1457062432123164,0.817930125326617,likelihood weighting,0.156542886477866,0.5366172676609346,prior / likelihood,0.2056253254117649,-0.379014696336282,prior - likelihood,0.2138597311741244
text-bison@002_sb,0,0.9070610290093049,1 - Difference to bayes optimal posterior prediction,0.0252383100238059,0.7882846959080847,prior weighting,0.1234332758205688,0.7743890790447279,likelihood weighting,0.1268836526978993,1.017943973177538,prior / likelihood,0.2307065603802965,0.0138956168633568,prior - likelihood,0.1770176118406238
text-bison@002,0,0.8105644705785635,1 - Difference to bayes optimal posterior prediction,0.0409750515599477,0.4014870122072826,prior weighting,0.1953806649246729,0.4990326047788659,likelihood weighting,0.2099117551518045,0.8045306225736327,prior / likelihood,0.5175056912678908,-0.0975455925715833,prior - likelihood,0.2867691566004239
text-bison@001_cot,0,0.5528935489596112,1 - Difference to bayes optimal posterior prediction,0.0418870955508123,1.922202009441157,prior weighting,1.331376007197166,0.6757801691999623,likelihood weighting,1.450969608521984,2.844419083378548,prior / likelihood,6.417168545775151,1.2464218402411946,prior - likelihood,1.969232052703466
text-bison@001_sb,0,0.7862388001525933,1 - Difference to bayes optimal posterior prediction,0.0346641261784024,0.3563200088058907,prior weighting,0.2570626691935039,0.7067859288115808,likelihood weighting,0.2630470943922998,0.5041413450392568,prior / likelihood,0.4092514676491763,-0.35046592000569,prior - likelihood,0.3677974847128788
