engine,run,performance_score1,performance_score1_name,performance_score1_CI,behaviour_score1,behaviour_score1_name,behaviour_score1_CI
hf_mpt-30b-instruct,0,0.5018,rewards mean,0.0069297747979091,-0.0003946000900144,interaction effect,0.0012894059521643
llama-2-7,0,0.4984,rewards mean,0.0069297842225186,0.0001089191880642,interaction effect,0.0017565273294193
llama-2-7-chat,0,0.50585,rewards mean,0.0069293453755435,1.3782378016635732e-15,interaction effect,3.095020838567566e-16
hf_mpt-30b-chat,0,0.50485,rewards mean,0.0069294936822494,0.0025950929118187,interaction effect,0.0010181245222174
hf_Llama-2-70b-longlora-32k,0,0.5069,rewards mean,0.0069291598144354,0.0179258234379014,interaction effect,0.005948375449024
hf_Llama-2-13b-longlora-64k,0,0.5091,rewards mean,0.0069286718914889,0.014295774119641,interaction effect,0.0065352524830972
hf_CodeLlama-7B,0,0.50085,rewards mean,0.0069298096896896,7.067913962433003e-16,interaction effect,4.177730360119907e-16
text-davinci-002,0,0.52475,rewards mean,0.0154781002668921,0.0448714138360001,interaction effect,0.0150886263808338
text-bison@001,0,0.4855,rewards mean,0.0219097277455686,0.1672188011616622,interaction effect,0.0180582366117387
llama-2-13-chat,0,0.51895,rewards mean,0.0069248408835772,0.001227164214917,interaction effect,0.0011533934318959
hf_Llama-2-7b-longlora-32k-ft,0,0.4959,rewards mean,0.0069295867188314,0.002234795751261,interaction effect,0.0077427149447306
hf_Llama-2-13b-longlora-32k-ft,0,0.49705,rewards mean,0.0069296990887247,-1.1362438767648086e-16,interaction effect,2.1211943076170005e-17
claude-2,0,0.5109929078014185,rewards mean,0.0184532790250771,0.054336619249291,interaction effect,0.0104106682304468
hf_falcon-40b-instruct,0,0.5001,rewards mean,0.0069298195646899,0.018128824943983,interaction effect,0.004000166839114
human,0,0.527,rewards mean,0.0109414303709487,0.0262877170580104,interaction effect,0.0109499591983324
hf_Llama-2-7b-longlora-8k-ft,0,0.50805,rewards mean,0.0069289215057945,1.7982145420500448e-06,interaction effect,0.0001592116449789
vicuna_7,0,0.4745,rewards mean,0.0218904224513267,8.500145032286355e-17,interaction effect,1.9567635172790751e-16
llama-2-70,0,0.485,rewards mean,0.0490392824995449,1.994931997373328e-16,interaction effect,4.9936303942128267e-17
hf_Llama-2-7b-longlora-32k,0,0.5024,rewards mean,0.0069297398713035,0.0155746470166825,interaction effect,0.0066194679627242
hf_koala-13B-HF,0,0.4954,rewards mean,0.0069295264271106,-1.5612511283791264e-17,interaction effect,3.1571487086140043e-16
hf_Llama-2-7b-longlora-100k-ft,0,0.5061,rewards mean,0.0069293039669127,-0.0046010328099753,interaction effect,0.0077067769417729
vicuna_13,0,0.528,rewards mean,0.0218845507054586,0.0237786119489779,interaction effect,0.010658690899076
hf_LongAlpaca-7B,0,0.50245,rewards mean,0.0069297365103014,0.0065263401238516,interaction effect,0.0035119336786452
hf_mpt-30b,0,0.4875,rewards mean,0.0069276537961532,0.0002628745353764,interaction effect,0.0010394639351471
llama_7,0,0.4965,rewards mean,0.0154967181095883,-1.708702623837155e-16,interaction effect,9.527672355470822e-17
hf_vicuna-7b-v1.5,0,0.50565,rewards mean,0.0069293772548232,-1.9949319973733282e-17,interaction effect,1.1842811040586156e-17
hf_vicuna-13b-v1.5,0,0.5126,rewards mean,0.0069276189974943,0.008925180995346,interaction effect,0.0035705284829257
gpt-4_cot,0,0.54275,rewards mean,0.0154403500633087,0.1773948161724481,interaction effect,0.0130695285116065
gpt-4_sb,0,0.53375,rewards mean,0.0154617531615178,0.1832607086073858,interaction effect,0.0129145629573174
hf_Llama-2-70b-longlora-32k_sb,0,0.5271739130434783,rewards mean,0.032279439579356,0.0378451248711671,interaction effect,0.0365298741174786
llama-2-70_sb,0,0.5091397849462366,rewards mean,0.0227255190104659,0.0243731577882941,interaction effect,0.0249703761191951
claude-1_sb,0,0.518,rewards mean,0.0219047385189778,0.1566178201843492,interaction effect,0.0205053794715987
claude-2_cot,0,0.514,rewards mean,0.0219103526894819,0.1228723218342595,interaction effect,0.0189432056491775
claude-1_cot,0,0.5285,rewards mean,0.0218833103034005,0.0694073393565977,interaction effect,0.0173544712589666
hf_LongAlpaca-70B_sb,0,0.5145,rewards mean,0.0219097277455686,0.0334285055557852,interaction effect,0.0201935825640244
llama-2-70-chat_cot,0,0.521,rewards mean,0.021899605557219,0.0713417246478204,interaction effect,0.022142270204443
hf_LongAlpaca-70B_cot,0,0.5241279069767442,rewards mean,0.0166918219673975,0.0193275333409205,interaction effect,0.0111204413214881
llama-2-70_cot,0,0.5213636363636364,rewards mean,0.0208793353838497,0.0152713776625164,interaction effect,0.0229491467081107
claude-2_sb,0,0.557,rewards mean,0.0217760515018105,0.1690592551877621,interaction effect,0.0206308418173167
hf_Llama-2-70b-longlora-32k_cot,0,0.5,rewards mean,0.0566748633326915,0.1006785976371732,interaction effect,0.0633283010173995
hf_Llama-2-70b-chat-longlora-32k_cot,0,0.5089041095890411,rewards mean,0.0256524916158729,0.0490869524203821,interaction effect,0.0259584868981537
gemini-pro,0,0.5833333333333334,rewards mean,0.0722241321430122,0.0351851851851851,interaction effect,0.0504306838230367
text-bison@002_cot,0,0.519,rewards mean,0.0309834335662714,0.0838178039527687,interaction effect,0.0297994037114767
text-bison@002_sb,0,0.496,rewards mean,0.0310048356588812,0.0892787099863481,interaction effect,0.0317794162934014
llama-2-70-chat_sb,0,0.5265,rewards mean,0.021888139791489,0.0437359366463074,interaction effect,0.0219196133125741
text-bison@002,0,0.507,rewards mean,0.0310027891412133,0.0455283474742721,interaction effect,0.0233534621237456
text-bison@001_cot,0,0.52,rewards mean,0.0400096682806361,0.1391021500033125,interaction effect,0.0340696981044827
text-bison@001_sb,0,0.52,rewards mean,0.0400096682806361,0.0788394365522288,interaction effect,0.0373515625897099
